feature,n_setup,n_control,test,pvalue,cohens_d,rank_biserial,ks_stat,qvalue,significant
base_depth_63,11043,8107,cluster_robust_t,7.007818713152098e-20,0.270594943717356,-0.14907572639473265,0.10927121282324592,1.4327096035777621e-19,True
hurst_126,10758,8103,cluster_robust_t,1.1683785896218395e-18,0.22657947836168754,-0.13726360347925182,0.10176751100358128,2.336757179243679e-18,True
ret_autocorr1_63,11030,8107,cluster_robust_t,2.687562282069798e-16,0.19881360852846092,-0.11645540756390527,0.09117919763328669,5.260760211711094e-16,True
ret_kurt_63,11043,8107,cluster_robust_t,2.6429359069088638e-15,0.14831202552599787,-0.11556380392241095,0.09112052763544137,5.065627154908655e-15,True
base_depth_126,10758,8103,cluster_robust_t,1.7931042491434767e-14,0.22979003281117202,-0.1210261786360618,0.0867213048068583,3.366644712677548e-14,True
cmf_42,11135,8107,cluster_robust_t,2.3305568614085657e-14,-0.22276380417849379,0.16336936890729958,0.15306594460740053,4.288224624991761e-14,True
ret_skew_126,10758,8103,cluster_robust_t,7.989750328828279e-14,-0.13300283356162876,0.06869545171083113,0.06682021813545469,1.4412882946121601e-13,True
zero_cross_63,11043,8107,cluster_robust_t,9.642650242740216e-14,-0.19188025171734138,0.10516260036053826,0.0727748032654928,1.7060073506386535e-13,True
rs_line_slope_126,10758,8103,cluster_robust_t,6.510902311304247e-13,-0.11095926607209915,0.06928366761125815,0.062418854460202455,1.1301943634716807e-12,True
ret_kurt_126,10758,8103,cluster_robust_t,1.611520664358173e-11,0.1361639978418604,-0.10823697965474577,0.07925173376051609,2.7455537244620727e-11,True
vol_trend_21,11241,8107,cluster_robust_t,1.4754577295941328e-10,0.11181791199864813,-0.06748771960018307,0.06706195788696523,2.4680383840483674e-10,True
ret_std_63,11043,8107,cluster_robust_t,3.337478021030013e-10,0.1974355980367754,-0.10225303039294875,0.08123787965411144,5.482999605977878e-10,True
ret_std_126,10758,8103,cluster_robust_t,6.881758248873565e-10,0.21223136941710694,-0.10037301624829986,0.08091031538380056,1.1107399278883648e-09,True
